Identifier,Title,ShortTitle,ValueType
ED-SQAsPS4T5pAL5p,Percentage of pupils in the S4 cohort that attained 5 or more awards at SCQF level 5 or above,S4: Percentage of pupils with 5 awards at SCQF level 5 and above,ratio
ED-SQAsPS4TL3pEM,Percentage of S4 cohort that attained SCQF level 3 or better in both English and Maths,S4: Percentage of pupils with English and Maths at SCQF level 3 or above,ratio
ED-SQAsPS5ASN1pAL6p,Percentage of pupils with ASN in the S5 cohort that attained 1 or more awards at SCQF level 6 or above,S5: Percentage of pupils with ASN with 1 award at SCQF level 6 and above,ratio
ED-SQAsPS5ASN3pAL6p,Percentage of pupils with ASN in the S5 cohort that attained 3 or more awards at SCQF level 6 or above,S5: Percentage of pupils with ASN with 3 awards at SCQF level 6 and above,ratio
ED-SQAsPS5ASN5pAL6p,Percentage of pupils with ASN in the S5 cohort that attained 5 or more awards at SCQF level 6 or above,S5: Percentage of pupils with ASN with 5 awards at SCQF level 6 and above,ratio
ED-SQAsPS5FEM1pAL6p,Percentage of female pupils in the S5 cohort that attained 1 or more awards at SCQF level 6 or above,S5: Percentage of female pupils with 1 award at SCQF level 6 and above,ratio
ED-SQAsPS5FEM3pAL6p,Percentage of female pupils in the S5 cohort that attained 3 or more awards at SCQF level 6 or above,S5: Percentage of female pupils with 3 awards at SCQF level 6 and above,ratio
ED-SQAsPS5FEM5pAL6p,Percentage of female pupils in the S5 cohort that attained 5 or more awards at SCQF level 6 or above,S5: Percentage of female pupils with 5 awards at SCQF level 6 and above,ratio
ED-SQAsPS5MAL1pAL6p,Percentage of male pupils in the S5 cohort that attained 1 or more awards at SCQF level 6 or above,S5: Percentage of male pupils with 1 award at SCQF level 6 and above,ratio
ED-SQAsPS5MAL3pAL6p,Percentage of male pupils in the S5 cohort that attained 3 or more awards at SCQF level 6 or above,S5: Percentage of male pupils with 3 awards at SCQF level 6 and above,ratio
ED-SQAsPS5MAL5pAL6p,Percentage of male pupils in the S5 cohort that attained 5 or more awards at SCQF level 6 or above,S5: Percentage of male pupils with 5 awards at SCQF level 6 and above,ratio
ED-SQAsPS5T1pAL6p,Percentage of pupils in the S5 cohort that attained 1 or more awards at SCQF level 6 or above,S5: Percentage of pupils with 1 award at SCQF level 6 and above,ratio
ED-SQAsPS5T3pAL6p,Percentage of pupils in the S5 cohort that attained 3 or more awards at SCQF level 6 or above,S5: Percentage of pupils with 3 awards at SCQF level 6 and above,ratio
ED-SQAsPS5T5pAL6p,Percentage of pupils in the S5 cohort that attained 5 or more awards at SCQF level 6 or above,S5: Percentage of pupils with 5 awards at SCQF level 6 and above,ratio
ED-SQAsPS6ASN1pAL7,Percentage of pupils with ASN in the S6 cohort that attained 1 or more awards at SCQF level 7 or above,S6: Percentage of pupils with ASN with 1 award at SCQF level 7 and above,ratio
ED-SQAsPS6ASN3pAL6p,Percentage of pupils with ASN in the S6 cohort that attained 3 or more awards at SCQF level 6 or above,S6: Percentage of pupils with ASN with 3 awards at SCQF level 6 and above,ratio
ED-SQAsPS6ASN5pAL6p,Percentage of pupils with ASN in the S6 cohort that attained 5 or more awards at SCQF level 6 or above,S6: Percentage of pupils with ASN with 5 awards at SCQF level 6 and above,ratio
ED-SQAsPS6FEM1pAL7,Percentage of female pupils in the S6 cohort that attained 1 or more awards at SCQF level 7 or above,S6: Percentage of female pupils with 1 award at SCQF level 7 and above,ratio
ED-SQAsPS6FEM3pAL6p,Percentage of female pupils in the S6 cohort that attained 3 or more awards at SCQF level 6 or above,S6: Percentage of female pupils with 3 awards at SCQF level 6 and above,ratio
ED-SQAsPS6FEM5pAL6p,Percentage of female pupils in the S6 cohort that attained 5 or more awards at SCQF level 6 or above,S6: Percentage of female pupils with 5 awards at SCQF level 6 and above,ratio
ED-SQAsPS6MAL1pAL7,Percentage of male pupils in the S6 cohort that attained 1 or more awards at SCQF level 7 or above,S6: Percentage of male pupils with 1 award at SCQF level 7 and above,ratio
ED-SQAsPS6MAL3pAL6p,Percentage of male pupils in the S6 cohort that attained 3 or more awards at SCQF level 6 or above,S6: Percentage of male pupils with 3 awards at SCQF level 6 and above,ratio
ED-SQAsPS6MAL5pAL6p,Percentage of male pupils in the S6 cohort that attained 5 or more awards at SCQF level 6 or above,S6: Percentage of male pupils with 5 awards at SCQF level 6 and above,ratio
ED-SQAsPS6T1pAL7,Percentage of pupils in the S6 cohort that attained 1 or more awards at SCQF level 7 or above,S6: Percentage of pupils with 1 award at SCQF level 7 and above,ratio
ED-SQAsPS6T3pAL6p,Percentage of pupils in the S6 cohort that attained 3 or more awards at SCQF level 6 or above,S6: Percentage of pupils with 3 awards at SCQF level 6 and above,ratio
ED-SQAsPS6T5pAL6p,Percentage of pupils in the S6 cohort that attained 5 or more awards at SCQF level 6 or above,S6: Percentage of pupils with 5 awards at SCQF level 6 and above,ratio
ED-SQAsPSMALE5pAL3p,Percentage of male pupils in the S4 cohort that attained 5 or more awards at SCQF level 3 or above,S4: Percentage of male pupils with 5 awards at SCQF level 3 and above,ratio
ED-SQAsPSMALE5pAL4p,Percentage of male pupils in the S4 cohort that attained 5 or more awards at SCQF level 4 or above,S4: Percentage of male pupils with 5 awards at SCQF level 4 and above,ratio
ED-SQAsPSMALE5pAL5p,Percentage of male pupils in the S4 cohort that attained 5 or more awards at SCQF level 5 or above,S4: Percentage of male pupils with 5 awards at SCQF level 5 and above,ratio
ED-SQAsPSMALEL3pEM,Percentage of S4 male cohort that attained SCQF level 3 or better in both English and Maths,S4: Percentage of male pupils with English and Maths at SCQF level 3 or above,ratio
ED-SQAsS4AvgTS,Average tariff score of all pupils on the S4 roll,S4: Average tariff score - all pupils,mean
ED-SQAsS4AvgTS_asn,Average tariff score of pupils with additional support needs on the S4 roll,S4: Average tariff score - pupils with ASN,mean
ED-SQAsS4AvgTSF,Average tariff score of Female pupils on the S4 roll,S4: Average tariff score - female pupils,mean
ED-SQAsS4AvgTSM,Average tariff score of Male pupils on the S4 roll,S4: Average tariff score - male pupils,mean
ED-SQAsS5AvgTS,Average tariff score of all pupils on the S5 roll,S5: Average tariff score - all pupils,mean
ED-SQAsS5AvgTS_asn,Average tariff score of pupils with additional support needs on the S5 roll,S5: Average tariff score - pupils with ASN,mean
ED-SQAsS5AvgTSF,Average tariff score of Female pupils on the S5 roll,S5: Average tariff score - female pupils,mean
ED-SQAsS5AvgTSM,Average tariff score of Male pupils on the S5 roll,S5: Average tariff score - male pupils,mean
ED-SQAsS6AvgTS,Average tariff score of all pupils on the S6 roll,S6: Average tariff score - all pupils,mean
ED-SQAsS6AvgTS_asn,Average tariff score of pupils with additional support needs on the S6 roll,S6: Average tariff score - pupils with ASN,mean
ED-SQAsS6AvgTSF,Average tariff score of Female pupils on the S6 roll,S6: Average tariff score - female pupils,mean
ED-SQAsS6AvgTSM,Average tariff score of Male pupils on the S6 roll,S6: Average tariff score - male pupils,mean
ED-SQAsTotalS4Roll,Number of pupils enrolled in stage S4 of publicly funded secondary schools.,S4: No pupils,count
ED-SQAsTotalS5Roll,Number of pupils enrolled in stage S5 of publicly funded secondary schools.,S5: No pupils,count
ED-SQAsTotalS6Roll,Number of pupils enrolled in stage S6 of publicly funded secondary schools.,S6: No pupils,count
ES-abiAFF,"Total number of Employee Jobs in Agriculture, Forestry & Fishing from the Annual Business Inquiry (ABI)","Employees in Agriculture, Forestry & Fishing",count
ES-abiAFF_LA,"Total number of Employee Jobs in Agriculture, Forestry & Fishing (Excludes Farm Data) from the Annual Business Inquiry (ABI)","Employees in Agriculture, Forestry & Fishing (Excludes Farm Data)",count
ES-abiBF,Total number of Employee Jobs in Banking & Finance from the Annual Business Inquiry (ABI),Employees in Banking & Finance,count
ES-abiCon,Total number of Employee Jobs in Construction from the Annual Business Inquiry (ABI),Employees in Construction,count
ES-abiDHR,"Total number of Employee Jobs in Distribution, Hotels & Restaurants from the Annual Business Inquiry (ABI)","Employees in Distribution, Hotels & Restaurants",count
ES-abiEW,Total number of Employee Jobs in Energy & Water from the Annual Business Inquiry (ABI),Employees in Energy & Water,count
ES-abiMan,Total number of Employee Jobs in Manufacturing from the Annual Business Inquiry (ABI),Employees in Manufacturing,count
ES-abiOther,"Total number of Employee Jobs in Other Community, Social and Personal Service Activities from the Annual Business Inquiry (ABI)",Employees in Other Services,count
ES-abiPAEH,"Total number of Employee Jobs in Public Administration, Education & Health from the Annual Business Inquiry (ABI)","Employees in Public Administration, Education & Health",count
ES-abiTC,Total number of Employee Jobs in Transport & Communications from the Annual Business Inquiry (ABI),Employees in Transport & Communications,count
ES-abiTotal,Total number of Employee Jobs from the Annual Business Inquiry (ABI),Total Employees,count
ES-abiTotal_LA,Total number of Employee Jobs (Excludes Farm Data) from the Annual Business Inquiry (ABI),Total Employees (Excludes Farm Data),count
ES-All_earnmed,Median gross weekly earnings of full time employees residing in the area,Median gross weekly earnings for full-time employees (residence based),count
ES-all_earnwork,Median gross weekly earnings (workplace based) of full time employees,Median gross weekly earnings (workplace based) for full-time employees,median
ES-allbus,Total number of business sites,Total no business sites,count
ES-allbus09,Total number of business sites in small employee sizeband (0-9 employees),No business sites 0-9 emp,count
ES-allbus1049,Total number of business sites in medium employee sizeband (10-49 employees),No business sites 10-49 emp,count
ES-allbus50,Total number of business sites in large employee sizeband (50 or more employees),No business sites 50+ emp,count
ES-allbusabce,"Number of business sites in sector A, B, C, E Primary Industries",No business sites Primary Industries,count
ES-allbusabce09,"Number of business sites in sector A, B, C, E Primary Industries in small employee sizeband (0-9 employees)",No business sites Primary Industries 0-9 emp,count
ES-allbusabce1049,"Number of business sites in sector A, B, C, E Primary Industries in medium employee sizeband (10-49 employees)",No business sites Primary Industries 10-49 emp,count
ES-allbusabce50,"Number of business sites in sector A, B, C, E Primary Industries in large employee sizeband (50 or more employees)",No business sites Primary Industries 50+ emp,count
ES-allbusd,Number of business sites in sector D Manufacturing,No business sites Manufacturing,count
ES-allbusd09,Number of business sites in sector D Manufacturing in small employee sizeband (0-9 employees),No business sites Manufacturing 0-9 emp,count
ES-allbusd1049,Number of business sites in sector D Manufacturing in medium employee sizeband (10-49 employees),No business sites Manufacturing 10-49 emp,count
ES-allbusd50,Number of business sites in sector D Manufacturing in large employee sizeband (50 or more employees),No business sites Manufacturing 50+ emp,count
ES-allbusf,Number of business sites in sector F Construction,No business sites Construction,count
ES-allbusf09,Number of business sites in sector F Construction in small employee sizeband (0-9 employees),No business sites Construction 0-9 emp,count
ES-allbusf1049,Number of business sites in sector F Construction in medium employee sizeband (10-49 employees),No business sites Construction 10-49 emp,count
ES-allbusf50,Number of business sites in sector F Construction in large employee sizeband (50 or more employees),No business sites Construction 50+ emp,count
ES-allbusg,"Number of business sites in sector G Wholesale, retail and repairs","No business sites Wholesale, retail and repairs",count
ES-allbusg09,"Number of business sites in sector G Wholesale, retail and repairs in small employee sizeband (0-9 employees)","No business sites Wholesale, retail and repairs 0-9 emp",count
